model,valid_IC,valid_IR,valid_spear,valid_pos,test_IC,test_IR,test_spear,test_pos
v2A_ema,0.0578,0.758,0.05182,0.775,0.05649,0.708,0.05691,0.76
v2B_noema,0.06157,0.92,0.05384,0.817,0.05895,0.872,0.0569,0.828
v2_k48,0.06071,0.88,0.05136,0.8,0.05778,0.856,0.05507,0.823
v2_gemb6,0.06172,0.845,0.05454,0.8,0.05772,0.756,0.05595,0.768
v2_clean12,0.06209,0.897,0.05388,0.817,0.05926,0.861,0.05809,0.813
v3_cs2,0.06293,0.964,0.0585,0.808,0.05708,0.934,0.05973,0.815
v3_refit880,0.11527,1.58,0.10303,0.933,0.05947,0.889,0.06003,0.818
v2_diverseblend_raw,0.08734,1.257,0.0767,0.883,0.06012,0.907,0.05901,0.823
v2_diverseblend_neutA0.60,0.08381,1.488,0.07344,0.933,0.05903,1.095,0.05833,0.868
v2_diverseblend_raw,0.08695,1.257,0.07656,0.883,0.06018,0.907,0.05902,0.826
v2_diverseblend_neutA0.62,0.08331,1.498,0.07319,0.933,0.05901,1.101,0.05822,0.871
